date,team1,team2,toss_winner,Decision,powerplay_run1,first_score,first_wkts,powerplay_run2,second_score,second_wkts,winner,player_of_the_match,Stadium_Name,Location
09-05-2024,Bangalore,Punjab,Bangalore,Bat,56,241,7,75,181,10,Bangalore,Virat Kohli,Himachal Pradesh Stadium,Dharamshala
10-05-2024,Gujarat,Chennai,Chennai,Field,58,231,3,43,196,8,Gujarat,Shubman Gill,Narendra Modi Stadium,Ahmedabad
11-05-2024,Kolkata,Mumbai,Mumbai,Field,52,157,7,62,139,8,Kolkata,Varun Chakravarthy,Eden Gardens,Kolkata
12-05-2024,Rajasthan,Chennai,Chennai,Field,42,141,5,56,145,5,Chennai,Simarjeet Singh,MA Chidambaram Stadium,Chennai
12-05-2024,Bangalore,Delhi,Delhi,Field,61,187,9,54,140,10,Bangalore,Cameron Green,M. Chinnaswamy Stadium,Bangalore
14-05-2024,Delhi,Lucknow,Lucknow,Field,73,208,4,59,189,9,Delhi,Ishant Sharma,Arun Jaitley Stadium,Delhi
15-05-2024,Rajasthan,Punjab,Punjab,Field,38,144,9,39,145,5,Punjab,Sam Curran,ACA Stadium,Assam
17-05-2024,Lucknow,Mumbai,Mumbai,Field,49,214,6,53,196,6,Lucknow,Nicholas Pooran,Wankhede Stadium,Mumbai
18-05-2024,Bangalore,Chennai,Chennai,Field,42,218,5,58,191,7,Bangalore,Faf du plessis,M. Chinnaswamy Stadium,Bangalore
19-05-2024,Punjab,Hyderabad,Hyderabad,Field,61,214,5,84,215,6,Hyderabad,Abhishek Sharma,Rajiv Gandhi Cricket Stadium,Hyderabad
21-05-2024,Hyderabad,Kolkata,Kolkata,Field,45,159,10,63,164,2,Kolkata,Mitchell Starc,Narendra Modi Stadium,Ahmedabad
22-05-2024,Bangalore,Rajasthan,Rajasthan,Field,50,172,8,47,174,6,Rajasthan,Ravichandran Ashwin,Narendra Modi Stadium,Ahmedabad
24-05-2024,Hyderabad,Rajasthan,Rajasthan,Field,68,175,9,51,139,7,Hyderabad,Shahbaz Ahmed,MA Chidambaram Stadium,Chennai
26-05-2024,Hyderabad,Kolkata,Kolkata,Field,40,113,10,72,114,2,Kolkata,Mitchell Starc,MA Chidambaram Stadium,Chennai
